SPOM_SPAC1F8.02C	9	1	39
SPOM_SPNCRNA.2040	0	30	1
SPOM_SPAC1F8.03C	362	0	427
SPOM_SPNCRNA.2041	0	65	0
SPOM_SPNCRNA.2042	0	0	0
SPOM_SPNCRNA.604	0	4	26
SPOM_SPNCRNA.139	0	0	0
SPOM_SPNCRNA.605	33	3840	499
SPOM_SPNCRNA.2043	0	43	0
SPOM_SPAC1F8.04C	0	426	3826
SPOM_SPNCRNA.2044	1	0	1
SPOM_SPNCRNA.606	3	595	16
SPOM_SPAC1F8.05	304	14	897
SPOM_SPNCRNA.2045	1	0	1
SPOM_SPNCRNA.607	37	338	1022
SPOM_SPAC1F8.06	0	1011	339
SPOM_SPNCRNA.2046	2	12	2
SPOM_SPAC1F8.07C	66601	9	114205
SPOM_SPNCRNA.2047	0	30769	2
SPOM_SPNCRNA.2048	0	16856	7
SPOM_SPAC1F8.08	85	54	463
SPOM_SPNCRNA.2049	111	452	92
SPOM_SPNCRNA.2050	4	350	7
SPOM_SPAC11D3.19	16	144	414
SPOM_SPNCRNA.2051	0	54	127
SPOM_SPNCRNA.2052	3	7807	60
SPOM_SPAC11D3.01C	0	60	7761
SPOM_SPNCRNA.608	163	1071	380
SPOM_SPAC11D3.02C	0	54	601
SPOM_SPAC11D3.03C	0	289	347
SPOM_SPAC11D3.04C	0	47	662
SPOM_SPNCRNA.2053	20	675	57
SPOM_SPAC11D3.05	43	17	131
SPOM_SPNCRNA.2054	0	95	9
SPOM_SPAC11D3.07C	235	327	1601
SPOM_SPAC11D3.06	0	862	287
SPOM_SPNCRNA.2055	0	1876	65
SPOM_SPAC11D3.08C	660	23	2028
SPOM_SPAC11D3.09	1040	841	207
SPOM_SPNCRNA.2056	1	1	1
SPOM_SPAC11D3.10	194	39	466
SPOM_SPNCRNA.2057	0	287	18
SPOM_SPAC11D3.11C	1190	116	1083
SPOM_SPAC11D3.13	710	1	984
SPOM_SPNCRNA.2058	0	274	0
SPOM_SPAC11D3.14C	0	488	513
SPOM_SPNCRNA.609	13	494	491
SPOM_SPNCRNA.147	2	2	0
SPOM_SPAC11D3.15	536	262	1294
SPOM_SPNCRNA.610	0	143	233
SPOM_SPNCRNA.2059	0	111	0
SPOM_SPNCRNA.2060	0	408	9
SPOM_SPAC11D3.16C	2528	15	2516
SPOM_SPNCRNA.2061	3	690	32
SPOM_SPAC11D3.17	4	33	688
SPOM_SPNCRNA.611	9	764	50
SPOM_SPAC11D3.18C	0	49	756
SPOM_SPNCRNA.612	0	382	39
SPOM_SPAC5H10.01	0	39	382
SPOM_SPAC5H10.02C	11	13	151
SPOM_SPNCRNA.613	0	142	13
SPOM_SPRRNA.10	15	0	15
SPOM_SPNCRNA.2062	33	18	16
SPOM_SPNCRNA.2063	10	477	4
SPOM_SPAC5H10.03	1560	8	4095
SPOM_SPNCRNA.2064	0	2073	1
SPOM_SPAC5H10.05C	15	318	929
SPOM_SPAC5H10.04	1	929	301
SPOM_SPAC5H10.06C	5	16	1119
SPOM_SPNCRNA.2065	0	696	7
SPOM_SPNCRNA.2066	0	350	7
SPOM_SPAC5H10.07	32	8	24
SPOM_SPNCRNA.2067	1	425	5
SPOM_SPAC5H10.08C	410	20	820
SPOM_SPAC5H10.09C	0	68	84
SPOM_SPNCRNA.614	2	128	75
SPOM_SPNCRNA.615	0	1153	32
SPOM_SPAC5H10.10	0	4	1136
SPOM_SPAC5H10.11	91	112	121
SPOM_SPNCRNA.2068	0	59	3
SPOM_SPAC5H10.12C	46	46	441
SPOM_SPNCRNA.616	0	296	37
SPOM_SPNCRNA.2069	0	19	1
SPOM_SPAC5H10.13C	1127	5	1715
SPOM_SPNCRNA.2070	0	584	2
SPOM_SPNCRNA.617	103	582	506
SPOM_SPAC13G6.01C	1	642	657
SPOM_SPSNORNA.49	0	0	0
SPOM_SPAC13G6.02C	1645	19	3618
SPOM_SPNCRNA.2071	0	1992	6
SPOM_SPNCRNA.141	51	24	32
SPOM_SPNCRNA.618	11	405	28
SPOM_SPAC13G6.03	391	29	1110
SPOM_SPNCRNA.2072	0	331	1
SPOM_SPNCRNA.2073	1	703	4
SPOM_SPAC13G6.04	9	106	791
SPOM_SPAC13G6.05C	508	51	908
SPOM_SPNCRNA.2074	9	340	28
SPOM_SPAC13G6.06C	1861	243	3085
SPOM_SPNCRNA.2075	0	896	91
SPOM_SPNCRNA.2076	0	381	31
SPOM_SPNCRNA.2077	0	48	6
SPOM_SPAC13G6.07C	1798	4	5934
SPOM_SPNCRNA.2078	0	4135	1
SPOM_SPAC13G6.08	2	238	146
SPOM_SPNCRNA.619	0	343	248
SPOM_SPAC13G6.09	577	41	718
SPOM_SPAC13G6.10C	9697	1	9722
SPOM_SPAC13G6.11C	0	184	1287
