SPAC12B10.03	GO:0005829,GO:0008150,GO:0032153,GO:0051286,GO:0005634,GO:0003674
SPAC12B10.04	GO:0005829,GO:0004835,GO:0008150,GO:0005634,GO:0000932
SPAC12B10.05	GO:0030145,GO:0005739,GO:0034982,GO:0005743,GO:0007005,GO:0070006
SPAC12B10.06c	GO:0003674,GO:0005739,GO:0005759,GO:0034553
SPAC12B10.07	GO:0030479,GO:1904600,GO:0051015,GO:0008290,GO:0032153,GO:0051286,GO:0044396,GO:1902404,GO:0051016,GO:0030036,GO:1903475
SPAC12B10.08c	GO:0005524,GO:0032543,GO:0005739,GO:0005759,GO:0032267,GO:0002127
SPAC12B10.09	GO:0000095,GO:0005743,GO:1990543
SPAC12B10.10	GO:0120105,GO:1902408,GO:0110085,GO:0032153,GO:0005515,GO:0071341
SPAC12B10.11	GO:0004338,GO:0031505,GO:0031520,GO:0009251,GO:1904541,GO:1990819,GO:0016020,GO:0000935
SPAC12B10.12c	GO:0071942,GO:0005737,GO:0003684,GO:0006298,GO:0003697,GO:0005634,GO:0006289,GO:0000111,GO:0072686
SPAC12B10.13	GO:0005829,GO:0005634,GO:0043161,GO:0045721,GO:0034657,GO:0003674
SPAC12B10.14c	GO:0005524,GO:0035556,GO:0005829,GO:0051286,GO:0004672
SPAC12B10.15c	GO:1903469,GO:0005829,GO:0005634,GO:0032299,GO:0004523
SPAC12B10.16c	GO:0008150,GO:0004559,GO:0005783
SPAC12G12.01c	GO:0005774,GO:0005829,GO:0008270,GO:0005737,GO:0061700,GO:1904263,GO:0061630
SPAC12G12.02	GO:0005737,GO:0000462,GO:0005634,GO:0005730,GO:0003674
SPAC12G12.03	GO:0005829,GO:0005737,GO:0008150,GO:0071014,GO:0003729
SPAC12G12.04	GO:0005524,GO:0005758,GO:0016887,GO:0034514,GO:0140662,GO:0042026,GO:0005739,GO:0042645,GO:0045041,GO:0005759,GO:0051087,GO:0071014,GO:0005743,GO:0007005,GO:0030150
SPAC12G12.05c	GO:0000124,GO:0005829,GO:0051123,GO:0016251,GO:0006367,GO:0003713,GO:0045815,GO:0005634,GO:0005669
SPAC12G12.06c	GO:0000479,GO:0004521,GO:0005730
SPAC12G12.07c	GO:0003674,GO:0008150,GO:0005829
SPAC12G12.08	GO:0032543,GO:0003735,GO:0019843,GO:0005762
SPAC12G12.09	GO:0010494,GO:0005829,GO:0005737,GO:0008150,GO:0003674
SPAC12G12.10	GO:0006283,GO:0005829,GO:0080008,GO:0005634,GO:0003674,GO:0070913
SPAC12G12.11c	GO:0005829,GO:1990380,GO:0008150,GO:0005634,GO:0005515,GO:0004843
SPAC12G12.12	GO:0097624,GO:0005459,GO:0000139
SPAC12G12.13c	GO:1990817,GO:0005524,GO:0016078,GO:0140746,GO:0016077,GO:0034475,GO:0043023,GO:0071040,GO:0005634,GO:0033895,GO:0031499,GO:0005730,GO:1990431,GO:0071035,GO:0043634
SPAC12G12.14c	GO:0000785,GO:0005829,GO:0180010,GO:0005634,GO:0005730,GO:0003674,GO:0005847
SPAC12G12.15	GO:0003674,GO:0140053,GO:0005634,GO:0005759
SPAC12G12.16c	GO:0017108,GO:0003677,GO:0000724,GO:0005737,GO:0035312,GO:0005634
SPAC12G12.17	GO:0003674,GO:0005575,GO:0006887
SPAC1327.01c	GO:0008270,GO:0005737,GO:0000978,GO:0000981,GO:0005634,GO:0006357
SPAC139.01c	GO:0005829,GO:0043488,GO:0004518,GO:0005634,GO:0003730
SPAC139.02c	GO:1990557,GO:0006820,GO:1990556,GO:0034658,GO:0015116,GO:0015131,GO:0005739,GO:1990555,GO:0005743,GO:0015117
SPAC139.03	GO:0000785,GO:0008270,GO:0000978,GO:0001228,GO:0005634,GO:0006357,GO:1903931,GO:0072686
SPAC139.04c	GO:0008115,GO:0051700,GO:0005829,GO:0005634,GO:0051698,GO:0019477,GO:0050660
SPAC139.05	GO:0005829,GO:0005739,GO:0036243,GO:0009450,GO:0004777
SPAC139.06	GO:0000785,GO:0042393,GO:0000123,GO:0005737,GO:0043995,GO:0043996,GO:0005634,GO:0005515,GO:0031509,GO:0043997
SPAC1399.01c	GO:0005886,GO:0042906,GO:0000324,GO:0042907,GO:1904082
SPAC1399.02	GO:1990822,GO:0005886,GO:0022857
SPAC1399.03	GO:0005783,GO:0000139,GO:0005886,GO:0098721,GO:0015505,GO:0000324,GO:0044853,GO:0015210
SPAC1399.04c	GO:0008655,GO:0005829,GO:0004845,GO:0044206,GO:0005634
SPAC1399.05c	GO:0000785,GO:0008270,GO:0000978,GO:0001228,GO:0005634,GO:0006357,GO:1903931
SPAC13A11.01c	GO:0005886,GO:0005096,GO:0035556,GO:0005737,GO:0035838,GO:0032153,GO:0005515,GO:0031097,GO:0051285,GO:0030950,GO:0000935
SPAC13A11.02c	GO:0005783,GO:0008398,GO:0005789,GO:0006696,GO:0005515,GO:0020037,GO:0097038,GO:0032541
SPAC13A11.03	GO:0000785,GO:0120230,GO:0005829,GO:0120231,GO:0005634,GO:0000709,GO:0010774,GO:0005515,GO:0003690
SPAC13A11.04c	GO:0140492,GO:0000124,GO:0071819,GO:0005829,GO:0016251,GO:0008270,GO:0005730,GO:0003713,GO:0045815,GO:0005634,GO:0005654,GO:0006357,GO:0004843
SPAC13A11.05	GO:0030145,GO:0030163,GO:0005737,GO:0004177,GO:0070006
SPAC13A11.06	GO:0005829,GO:0004737,GO:0000287,GO:0019655,GO:0005634,GO:0000949,GO:0030976,GO:0006090
SPAC13C5.01c	GO:0019773,GO:0005829,GO:0005634,GO:0043161,GO:0004175
SPAC13C5.02	GO:0003723,GO:0071004,GO:0005684,GO:0005829,GO:0005634,GO:0045292
SPAC13C5.03	GO:0005783,GO:0031965,GO:0005789,GO:0005640,GO:0000742,GO:0048288,GO:0003674
SPAC13C5.04	GO:0016811,GO:0008150,GO:0005634,GO:0005829
SPAC13C5.05c	GO:0005829,GO:0004610,GO:0000287,GO:0006031,GO:0005634,GO:0006048
