gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SPNCRNA.1137,1627.5792114825408,5.319916266742441,0.10451673659973132,50.900137526453506,0,0
SPNCRNA.6837,35.6044635222091,4.42859302413909,0.5156093712874528,8.5890468070452215,8.76937908292488e-18,2.6538969358547514e-17
SPNCRNA.6838,193.1783004712198,6.65359495671905,0.3875159792211575,17.16985960189736,4.4649862052852566e-66,3.431172397338612e-65
SPCC306.05C,1538.3884269247205,1.1319135618868563,0.07936590060266474,14.261963302774541,3.776776588379038e-46,2.0909110967547716e-45
SPNCRNA.6839,25.031717488442855,1.5190101876217088,0.4018950329283972,3.7796192118959087,1.570683798443761e-4,2.763339405908634e-4
SPNCRNA.6840,72.806128441977,1.3429219737078417,0.23780213938700187,5.6472241047518725,1.6305921610498386e-8,3.6153290341045103e-8
SPCC306.08C,13271.02970005649,2.252037491154581,0.0789345611372188,28.530436588349033,4.9127707606875174e-179,1.3624597505400838e-177
SPNCRNA.6843,11.072667523919447,2.667634384037334,0.6902331469542144,3.864830884765213,1.111661960284996e-4,1.9767594875899438e-4
SPNCRNA.6844,3.609125182291611,3.159946063365903,1.2336683635887167,2.5614226291526863,0.010424445774088612,0.015606357377592583
SPNCRNA.6845,22.32907964391883,1.1414094850297705,0.43341661511650675,2.6335157564805125,0.008450591465684783,0.012801829875481539
SPCC306.10,387.65527595029437,1.2874730778393895,0.11828022234934243,10.884939614306932,1.359887247061714e-27,5.264395155183006e-27
SPNCRNA.6850,9.79936636122122,1.5295449583854612,0.675765633365032,2.263425191910046,0.023609491271403462,0.03389713817118814
SPNCRNA.6854,8.44737820535132,1.9296470410259727,0.685515582580698,2.8148842857249234,0.004879479994359869,0.007557258971123406
SPNCRNA.6855,43.62986633094686,1.9917441198875454,0.31311977322709306,6.360965643785819,2.0048928966245477e-10,4.798290558170553e-10
SPCC4G3.08,3992.1872916981697,2.8375798812355835,0.06826043860250548,41.56990402243666,0,0
SPNCRNA.6864,157.68537512051915,3.896080648446937,0.22027048192134785,17.687711101654163,5.2151185421050916e-70,4.2797944404441094e-69
SPCC4G3.03,778.6771439759059,1.0597741614962333,0.12341367838626072,8.587169391218914,8.913816586944804e-18,2.696230294319294e-17
SPNCRNA.1140,493.5444237563738,3.6262494426905296,0.12674808715521677,28.609894824288702,5.060745618853831e-180,1.4134280570393176e-178
SPNCRNA.6869,16.09880793546942,1.9009405068130978,0.5274405657109636,3.604084764035403,3.132548197225606e-4,5.383200660505823e-4
SPCC364.02C,1778.6607913337361,1.4498799451260544,0.07777719296124429,18.641453746582464,1.4815915269009146e-77,1.359024543885409e-76
SPNCRNA.6882,43.134937366199694,3.1121691008848384,0.3596265100141463,8.653892341703113,4.977216194312867e-18,1.5155616912587546e-17
SPNCRNA.6883,11.166448436917136,3.3810280848755276,0.7336229290608489,4.608672863052097,4.052473692298617e-6,7.899488636082341e-6
SPNCRNA.6885,103.38404241037897,1.1821545149619008,0.24327746104567882,4.859284990400053,1.1781044649539447e-6,2.3754662138574173e-6
SPCC970.01,4038.8204805761006,2.666155799061964,0.06341896968294687,42.04035184410893,0,0
SPCP31B10.03C,648.4523649907,1.0128123988189464,0.08818031152237794,11.485697672568554,1.5567364581568807e-30,6.416593504174655e-30
SPCP31B10.04,2313.317543677188,1.5569828948404372,0.06833237895173677,22.785433768377004,6.394638673343916e-115,9.23479404509008e-114
SPCP31B10.06,1441.6639291935114,1.3255500356834353,0.1125756922120884,11.774744704088949,5.267633493684487e-32,2.231818097753549e-31
SPCC1672.01,5221.335644472578,1.3278714291003282,0.05952549301735766,22.307609089657102,3.117183477455202e-110,4.242952498853391e-109
SPCC1672.04C,485.1753626095602,1.283157998322368,0.10255623536107752,12.511750200313577,6.438967452938238e-36,2.955436146422272e-35
SPCC1672.06C,3432.519558905243,1.5438555036155779,0.056960155245009594,27.104130895971153,8.802142263209447e-162,2.0599796182001238e-160
SPNCRNA.6913,8.427472270484698,5.061638648177156,1.187850531970328,4.2611747117553955,2.033551776078569e-5,3.808527618586496e-5
SPNCRNA.6914,4.571973254099606,6.090787861173332,1.4437715396594777,4.2186645836015595,2.457535477112479e-5,4.581570390422855e-5
SPSNORNA.32,765.5751086334819,1.9802637455882268,0.09326745959628356,21.232096962434415,4.826044033899725e-100,5.873588227075081e-99
SPNCRNA.6922,38.93817520242076,1.8581259344667924,0.33669139605262416,5.518780569540812,3.4136012028499104e-8,7.43769373397399e-8
